epoch,step,train_acc,val_acc
0,859,,0.8971999883651733
0,859,0.7958545684814453,
1,1719,,0.9164000153541565
1,1719,0.9135090708732605,
2,2579,,0.9327999949455261
2,2579,0.9330000281333923,
3,3439,,0.9387999773025513
3,3439,0.9457091093063354,
4,4299,,0.9490000009536743
4,4299,0.9533454775810242,
5,5159,,0.9527999758720398
5,5159,0.959672749042511,
6,6019,,0.9453999996185303
6,6019,0.9640363454818726,
7,6879,,0.9581999778747559
7,6879,0.9683091044425964,
8,7739,,0.9599999785423279
8,7739,0.9712908864021301,
9,8599,,0.9577999711036682
9,8599,0.9734908938407898,
