accuracy,epoch,step,train_acc,val_acc
,0,858,,0.8966000080108643
,0,858,0.7733738422393799,
,1,1717,,0.9182000160217285
,1,1717,0.9131439328193665,
,2,2576,,0.9318000078201294
,2,2576,0.9317338466644287,
,3,3435,,0.9426000118255615
,3,3435,0.9450851082801819,
,4,4294,,0.9488000273704529
,4,4294,0.9535797238349915,
,5,5153,,0.9517999887466431
,5,5153,0.959636926651001,
,6,6012,,0.9581999778747559
,6,6012,0.9640206694602966,
,7,6871,,0.9599999785423279
,7,6871,0.9678587317466736,
,8,7730,,0.9571999907493591
,8,7730,0.9710237383842468,
,9,8589,,0.9628000259399414
,9,8589,0.9730791449546814,
,10,8590,,0.9772446155548096
,10,8590,,0.9628000259399414
0.9681000113487244,10,8590,,
